multimedia irn,object irn
142341,190333
93747,202912
93742,202913
93745,202911
93743,202914
93723,202902
95366,203863
162461,137239
163595,316005
163593,316006
94923,203604
95303,203826
95345,203854
110606,134027
95292,203815
95311,203834
85553,197247
45677,110552
100461,205131
100462,205131
85743,197325
95641,203875
95640,203878
95639,203879
94523,203525
143451,192280
143445,192274
94916,203597
94914,203595
94915,203596
94917,203598
192797,314541
85579,197252
108508,134048
108497,134020
95367,203864
95369,203864
94876,203549
94515,203548
95649,203882
95650,203922
95630,203865
94933,203614
94930,203612
36569,118105
67583,177119
6007,149762
74136,149762
95338,203852
96371,204415
162705,236035
162709,236041
162712,236038
162711,236038
162710,236038
93715,202874
93721,202900
93719,202899
93722,202901
93724,202903
93726,202905
96369,204412
96372,204416
93744,202907
94937,203623
94879,203552
69274,157686
9778,152799
142499,191216
143525,192354
143550,192379
143879,190632
143819,190569
143704,190569
143956,190570
143704,190570
143846,190571
143704,190571
143856,190572
143704,190572
143818,190573
143704,190573
143823,190574
143705,190574
143824,190575
143705,190575
143825,190576
143705,190576
143826,190577
143705,190577
144210,190578
143705,190578
143925,190579
143706,190579
143827,190580
143706,190580
143945,190581
143706,190581
143829,190582
143706,190582
143831,190583
143707,190583
143832,190584
143707,190584
143833,190585
143707,190585
143834,190586
143707,190586
143835,190587
143707,190587
143836,190588
143708,190588
143837,190589
143708,190589
143838,190590
143708,190590
143839,190591
143708,190591
143840,190592
143709,190592
143841,190593
143709,190593
143842,190594
143709,190594
143843,190595
143709,190595
143844,190596
143710,190596
143845,190597
143710,190597
143847,190598
143710,190598
143848,190599
143710,190599
143849,190600
143711,190600
143850,190601
143711,190601
143851,190602
143711,190602
143852,190603
143711,190603
143820,190604
143711,190604
143853,190605
143711,190605
143854,190606
143712,190606
143855,190607
143712,190607
143857,190608
143712,190608
143858,190609
143712,190609
143859,190610
143712,190610
143860,190611
143712,190611
143861,190612
143713,190612
143862,190613
143713,190613
143863,190614
143713,190614
143864,190615
143713,190615
143865,190616
143713,190616
143866,190617
143713,190617
143867,190618
143713,190618
143868,190619
143714,190619
143869,190620
143714,190620
143870,190621
143714,190621
143821,190622
143714,190622
143822,190623
143714,190623
143871,190624
143714,190624
143872,190625
143715,190625
143873,190626
143715,190626
143874,190627
143715,190627
143875,190628
143715,190628
143876,190629
143715,190629
143877,190630
143715,190630
143878,190631
143716,190631
143880,190633
143716,190633
143881,190634
143716,190634
143882,190635
143716,190635
143883,190636
143716,190636
143884,190637
143717,190637
143885,190638
143717,190638
143886,190639
143717,190639
143887,190640
143717,190640
143888,190641
143717,190641
143889,190642
143717,190642
143890,190643
143718,190643
143891,190644
143718,190644
143892,190645
143718,190645
143893,190646
143718,190646
143894,190647
143718,190647
143895,190648
143718,190648
143896,190649
143718,190649
143897,192388
143719,192388
143898,192389
143719,192389
143899,192390
143719,192390
143900,192391
143719,192391
143901,192392
143719,192392
143902,192393
143719,192393
143903,192394
143720,192394
143904,192395
143720,192395
143905,192396
143720,192396
143906,192397
143720,192397
143907,192398
143720,192398
143908,192399
143720,192399
143909,192400
143721,192400
143910,190650
143721,190650
143911,190651
143721,190651
143912,190652
143721,190652
143913,190653
143721,190653
143914,190654
143721,190654
144211,190655
143722,190655
144212,190656
143722,190656
143917,190657
143722,190657
143918,190658
143722,190658
143919,190659
143722,190659
143920,190660
143723,190660
143921,190661
143723,190661
143922,190662
143723,190662
143923,190663
143723,190663
143924,190664
143723,190664
143926,190665
143723,190665
143927,190666
143724,190666
143928,190667
143724,190667
143929,190668
143724,190668
143930,190669
143724,190669
143931,190670
143724,190670
143932,190671
143725,190671
143933,190672
143725,190672
143934,190673
143725,190673
143935,190674
143725,190674
143828,190675
143726,190675
143936,190676
143726,190676
143937,190677
143726,190677
143938,190678
143726,190678
143939,190679
143726,190679
143940,190680
143727,190680
143941,190681
143727,190681
143942,190682
143727,190682
143943,190683
143727,190683
143944,190684
143727,190684
143946,190685
143727,190685
143947,190686
143728,190686
143948,190687
143728,190687
143949,190688
143728,190688
143950,190689
143728,190689
143951,190690
143728,190690
143952,190691
143729,190691
143953,190692
143729,190692
143954,190693
143729,190693
143955,190694
143729,190694
143830,190695
143730,190695
143958,190696
143744,190696
143975,190697
143744,190697
143985,190698
143744,190698
143995,190699
143744,190699
143916,190700
143745,190700
143962,190701
143745,190701
143963,190702
143745,190702
143964,190703
143745,190703
143965,190704
143746,190704
143915,190705
143746,190705
143966,190706
143746,190706
143967,190707
143746,190707
143968,190708
143746,190708
143969,190709
143746,190709
143970,190710
143747,190710
143971,190711
143747,190711
143972,190712
143747,190712
143973,190713
143747,190713
143974,190714
143747,190714
143959,190715
143747,190715
143976,190716
143748,190716
143977,190717
143748,190717
143978,190718
143748,190718
143979,190719
143748,190719
143980,190720
143749,190720
143981,190721
143749,190721
143982,190722
143749,190722
143983,190723
143749,190723
143984,190724
143749,190724
143986,190725
143749,190725
143987,190726
143750,190726
143988,190727
143750,190727
143989,190728
143750,190728
143990,190729
143750,190729
143991,190730
143750,190730
143992,190731
143750,190731
143993,190732
143751,190732
143994,190733
143751,190733
144215,190734
143751,190734
143996,190735
143751,190735
143997,190736
143752,190736
143998,190737
143753,190737
143999,190738
143753,190738
144000,190739
143753,190739
144001,190740
143753,190740
144002,190741
143753,190741
144003,190742
143753,190742
144004,190743
143754,190743
144005,190744
143754,190744
144006,190745
143754,190745
144007,190746
143754,190746
144008,190747
143754,190747
144009,190748
143754,190748
144010,190749
143755,190749
144011,190750
143755,190750
144012,190751
143755,190751
143960,190752
143755,190752
143961,190753
143755,190753
144013,190754
143756,190754
144014,190755
143756,190755
144015,190756
143756,190756
144016,190757
143756,190757
144017,190758
143756,190758
144018,190759
143757,190759
144019,190760
143757,190760
144020,190761
143757,190761
144021,190762
143757,190762
144022,190763
143758,190763
144023,190764
143758,190764
144024,190765
143758,190765
144025,190766
143758,190766
144026,190767
143758,190767
144027,190768
143759,190768
144028,190769
143759,190769
144029,190770
143759,190770
144030,190771
143759,190771
144031,190772
143759,190772
144032,190773
143759,190773
144033,190774
143760,190774
144034,190775
143760,190775
144035,190776
143760,190776
144036,190777
143760,190777
144037,190778
143760,190778
144038,190779
143760,190779
144039,190780
143761,190780
144040,190781
143761,190781
144041,190782
143761,190782
144042,190783
143761,190783
144043,190784
143761,190784
144044,190785
143762,190785
144045,190786
143762,190786
144046,190787
143762,190787
144047,190788
143762,190788
144048,190789
143763,190789
144049,190790
143763,190790
144050,190791
143763,190791
144051,190792
143763,190792
144052,190793
143764,190793
144053,190794
143764,190794
144213,190795
143764,190795
144056,190796
143764,190796
144057,190797
143765,190797
144058,190798
143765,190798
144059,190799
143765,190799
144060,190800
143765,190800
144061,190801
143766,190801
144062,190802
143766,190802
144063,190803
143766,190803
144064,190804
143766,190804
144065,190805
143767,190805
144066,190806
143767,190806
144067,190807
143767,190807
144068,190808
143767,190808
144069,190809
143768,190809
144070,190810
143768,190810
144071,190811
143768,190811
144072,190812
143768,190812
144073,190813
143769,190813
144074,190814
143769,190814
144075,190815
143769,190815
144076,190816
143769,190816
144077,190817
143769,190817
144078,190818
143769,190818
144079,190819
143770,190819
144080,190820
143770,190820
144081,190821
143770,190821
144214,190822
143770,190822
143957,190823
143789,190823
144100,190824
143789,190824
144085,190825
143789,190825
144121,190826
143789,190826
144055,190827
143789,190827
144209,190828
143790,190828
144088,190829
143790,190829
144164,190830
143790,190830
144089,190831
143790,190831
144054,190832
143790,190832
144091,190833
143791,190833
144092,190834
143791,190834
144093,190835
143791,190835
144094,190836
143791,190836
144095,190837
143792,190837
144096,190838
143792,190838
144097,190839
143792,190839
144098,190840
143792,190840
144099,190841
143793,190841
144101,190842
143793,190842
144083,190843
143793,190843
144084,190844
143793,190844
144102,190845
143794,190845
144103,190846
143794,190846
144104,190847
143794,190847
144105,190848
143794,190848
144107,190849
143795,190849
144108,190850
143795,190850
144109,190851
143795,190851
144110,190852
143795,190852
144111,190853
143795,190853
144112,190854
143795,190854
144113,190855
143796,190855
144114,190856
143796,190856
144115,190857
143796,190857
144116,190858
143796,190858
144117,190859
143797,190859
144118,190860
143797,190860
144119,190861
143797,190861
144122,190862
143797,190862
144123,190863
143797,190863
144125,190864
143797,190864
144126,190865
143798,190865
144127,190866
143798,190866
144128,190867
143798,190867
144129,190868
143798,190868
144130,190869
143798,190869
144131,190870
143798,190870
144132,190871
143799,190871
144133,190872
143799,190872
144134,190873
143799,190873
144135,190874
143799,190874
144136,190875
143799,190875
144137,190876
143799,190876
144138,190877
143800,190877
144120,190878
143800,190878
144139,190879
143800,190879
144086,190880
143800,190880
144140,190881
143800,190881
144087,190882
143800,190882
144142,190883
143801,190883
144143,190884
143801,190884
144144,190885
143801,190885
144145,190886
143801,190886
144146,190887
143801,190887
144147,190888
143801,190888
144148,190889
143803,190889
144149,190890
143803,190890
144150,190891
143803,190891
144151,190892
143803,190892
144153,190893
143803,190893
144154,190894
143803,190894
144155,190895
143804,190895
144156,190896
143804,190896
144157,190897
143804,190897
144160,190898
143804,190898
144161,190899
143804,190899
144162,190900
143804,190900
144163,190901
143805,190901
144165,190902
143805,190902
144166,190903
143805,190903
144167,190904
143805,190904
144168,190905
143805,190905
144169,190906
143806,190906
144170,190907
143807,190907
144171,190908
143807,190908
144172,190909
143807,190909
144173,190910
143807,190910
144174,190911
143808,190911
144176,190913
143808,190913
144177,190914
143808,190914
144159,190916
143809,190916
144178,190917
143809,190917
144179,190918
143809,190918
144180,190919
143809,190919
144181,190920
143810,190920
144182,190921
143810,190921
144082,190922
143810,190922
144184,190923
143810,190923
144185,190924
143811,190924
144186,190925
143811,190925
144187,190926
143811,190926
144198,190937
143814,190937
144200,190939
143814,190939
144202,190941
143815,190941
144203,190942
143815,190942
144204,190943
143815,190943
144205,190944
143816,190944
144206,190945
143816,190945
144207,190946
143816,190946
144208,190947
143816,190947
142496,191213
143505,192334
95300,203823
142616,191333
142617,191334
142609,191326
94447,203262
101503,146276
69501,180539
69198,182971
69013,182129
71140,183055
35743,153973
35744,153973
35745,153973
69199,183015
69008,182130
69435,187224
69436,187224
31422,167416
94878,203551
96370,204414
95633,203868
95636,203871
95337,203850
101483,163560
101484,163560
96362,203933
96358,203937
94520,203541
95309,203832
95322,203841
95365,203862
198828,240335
191656,229119
191658,229120
191659,229121
191678,229160
191681,229168
82578,179586
82581,179589
82580,179589
82582,179590
83323,179576
83893,179249
83896,179627
83927,181028
83976,179224
83977,179225
83983,179216
83982,179216
19668,116766
19666,116766
66011,116766
66012,116766
84770,179391
84782,197000
84939,197022
83846,180995
83845,180995
83844,180995
83843,180995
83842,180995
107409,205739
102678,206998
102679,206998
102724,207001
105363,206995
105364,206995
105365,206995
85578,196967
192839,206484
192840,206484
192682,310816
35741,137035
5461,148037
132758,225434
132755,225434
132756,225434
132757,225434
132759,225424
132760,225425
132761,225430
132762,225446
132763,225392
132764,225401
132765,225390
69437,187216
69438,187216
96368,204413
95343,203855
101506,164267
134222,225995
69420,183054
94912,203593
94918,203599
94913,203594
85572,196972
29578,140986
94518,203542
93746,202908
93725,202904
93740,202909
93741,202910
142463,190221
101507,164282
95296,203819
95287,203805
95371,134207
95342,203853
95341,203853
95632,203869
96361,203935
95635,203872
95638,203873
95637,203874
95642,203877
94929,203611
95644,203921
95645,203930
95646,203930
95647,203930
95648,203880
95317,203838
95304,203827
90310,201244
95351,203861
95348,203858
95347,203857
95349,203859
95350,203860
95315,203837
143402,192231
95302,203825
95313,203835
109821,206465
183187,312024
183186,312024
96722,197507
96722,197508
96723,197513
96723,197509
87452,197245
87453,197245
87454,197245
96726,204442
96728,204442
96729,204442
96731,204446
96730,204446
96732,204446
96733,204447
96734,204447
96735,204448
96736,204448
96735,204449
96736,204449
96735,204450
96736,204450
69261,182151
69262,182152
69263,182152
69264,182153
